Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
"Korea, Rep.",KOR,1996,YR1996,..,100,100,100,8.11043944300803,2830,1.3968065941117,23843.79,0.608638119605653,202605,3917564.350956
"Korea, Rep.",KOR,1997,YR1997,..,100,100,100,8.3483209422122,2895,1.30338474837246,27154.63,0.676453174140543,222114,4014266.033196
"Korea, Rep.",KOR,1998,YR1998,..,100,100,100,8.08421696777499,4343,2.01000606287806,32559.71,0.948920714404801,216069,3431236.088088
"Korea, Rep.",KOR,1999,YR1999,..,100,100,100,8.07359349038031,4257,1.80690673865431,30566.3,0.78712686156931,235596,3883274.919504
"Korea, Rep.",KOR,2000,YR2000,96.21,100,100,100,8.07369328605063,4111,1.4248282650437,29935.37,0.700450813764183,288526,4273729.06302
"Korea, Rep.",KOR,2001,YR2001,96.36,100,100,100,7.84323947161692,4258,1.37738284320544,30061.79,0.692197634126287,309137,4342948.966872
"Korea, Rep.",KOR,2002,YR2002,96.46,100,100,100,7.59264633207729,3434,1.04122448484554,31465.48,0.696662625721157,329804,4516602.274656
"Korea, Rep.",KOR,2003,YR2003,96.47,100,100,100,7.52664322625046,5123,1.49275476338249,38440.48,0.845581664584428,343191,4546039.916664
"Korea, Rep.",KOR,2004,YR2004,96.6,100,100,100,7.37233097560174,4631,1.26318832989646,35323.62,0.770203659304137,366612,4586270.082372
"Korea, Rep.",KOR,2005,YR2005,96.57,100,100,100,7.16080966104956,4052,1.04466914513476,40233.52,0.872923379895184,387874,4609055.150388
"Korea, Rep.",KOR,2006,YR2006,96.59,100,100,100,6.92000939279806,4018,0.99883163049693,43829.36,0.948657762329389,402270,4620144.560076
"Korea, Rep.",KOR,2007,YR2007,96.57,100,100,100,6.82262232071621,4557,1.06995691527453,48273.94,1.02492174042688,425905,4710012.296148
"Korea, Rep.",KOR,2008,YR2008,96.73,100,100,100,6.78036414200619,4376,0.985727672457291,49796.08,1.06072926398317,443935,4694513.641776
"Korea, Rep.",KOR,2009,YR2009,96.66,100,100,100,6.79668710182169,4687,1.03769073406601,55999.22,1.20679603607017,451676,4640321.837844
"Korea, Rep.",KOR,2010,YR2010,96.8,100,100,100,6.95979785009228,6186,1.24537463913126,65697.68,1.31495350279791,496718,4996197.953784
"Korea, Rep.",KOR,2011,YR2011,96.68,100,100,100,6.99386853595585,7479,1.43812265288346,68510.37,1.34761205511562,520053,5083834.753476
"Korea, Rep.",KOR,2012,YR2012,96.79,100,100,100,6.9152461219048,7093,1.33594507802273,82658.91,1.61425751323342,530935,5120552.90574
"Korea, Rep.",KOR,2013,YR2013,96.8,100,100,100,6.72959855828112,8783,1.63285870185595,99827.22,1.92227365396064,537891,5193184.632912
"Korea, Rep.",KOR,2014,YR2014,96.77,100,100,100,6.62553280898562,8553,1.56686805919401,147547.6,2.83819150814731,545865,5198648.490648
"Korea, Rep.",KOR,2015,YR2015,96.68,100,100,100,6.54805337164954,10406,1.89466631222848,143837.9,2.70770280422964,549226,5312174.57748
"Korea, Rep.",KOR,2016,YR2016,96.68,100,100,100,..,..,..,..,..,..,..
Lao PDR,LAO,1990,YR1990,..,0.703275453083371,15.3026142120361,95.2770004272461,8.05148654823041,833.4893,94.8775699373914,51638.8,88.4450970085087,878.4893,58385.14711
Lao PDR,LAO,1991,YR1991,..,3.65169539846028,18.1253528594971,95.3616180419922,7.83922573446131,833.9267,94.8801191271127,52294.16,88.1048891659301,878.9267,59354.43594
Lao PDR,LAO,1992,YR1992,..,6.6167533363645,20.947582244873,95.4460678100586,7.48710880975962,751.8122,94.5899169640325,52516.29,87.1192640525316,794.8122,60280.91556
Lao PDR,LAO,1993,YR1993,..,10,31,97,7.11877175596494,919.8637,95.5341550418818,52760.26,86.9281107254713,962.8637,60694.12939
Lao PDR,LAO,1994,YR1994,..,12.5869471920369,26.5798015594482,95.6108474731445,6.63404443364601,1198.5498,96.5365867724356,52805.54,86.5755632600477,1241.5498,60993.58527
Lao PDR,LAO,1995,YR1995,..,10.1318651859503,25,95.6891098022461,6.30938586452983,1084.9894,96.1879074395557,53136.74,85.9691828208372,1127.9894,61809.05559
Lao PDR,LAO,1996,YR1996,..,17.9950683616398,32.1753158569336,95.7632522583008,6.06205904498543,1247.8368,96.6688275388492,53591.53,85.6468919294896,1290.8368,62572.65009
Lao PDR,LAO,1997,YR1997,..,20.5595172658328,34.9516563415527,95.8322448730469,5.85329987807082,1218.7388,96.5920046209247,54078.12,85.9164563384091,1261.7388,62942.67979
Lao PDR,LAO,1998,YR1998,..,23.1278258838666,37.709644317627,95.8950500488281,5.76639231650081,2157.6195,92.4580678212536,54420.54,86.2281782841321,2333.6195,63112.246
Lao PDR,LAO,1999,YR1999,..,25.6998787305852,40.446216583252,95.9506378173828,5.59296016782184,2800.8003,91.4756034219475,54822.9,86.5487696249113,3061.8003,63343.36148
Lao PDR,LAO,2000,YR2000,3.99,28.276563600936,43.159839630127,95.9986267089844,5.42195520712951,3679.8874,90.9088380274609,55309.98,85.4720575462818,4241.1874,64711.1835
Lao PDR,LAO,2001,YR2001,4.04,30.8703043188103,45.8550491333008,96.0411834716797,5.10056971095381,3632.1846,90.7550491299177,55645.27,84.8473392840846,4195.4846,65582.81081
Lao PDR,LAO,2002,YR2002,4.21,30.5417039909244,46.3,96.0811309814453,4.98871162347996,3469.4535,90.5991807969466,55939.96,83.9017740962276,4022.7535,66673.15513
Lao PDR,LAO,2003,YR2003,4.13,33,48,97,4.71178339563886,3178.0044,90.9039016083618,56452.01,82.0761164935571,3689.3044,68780.06954
Lao PDR,LAO,2004,YR2004,4.29,38.8505340360903,53.8908538818359,96.1644439697266,4.6446147568295,3345.4588,100,56936.16,77.6517329914112,3858.7588,73322.45889
Lao PDR,LAO,2005,YR2005,4.27999999999999,43.7917960871246,57.2,92.2,4.37927351366848,3510,100,57457.38,77.2446003667133,4017.9199,74383.68472
